Date,Open,High,Low,Close,Adj Close,Volume
2014-04-30,128.050003,129.500000,127.800003,129.020004,110.891663,2773000
2014-05-01,128.740005,129.600006,128.270004,128.460007,110.410339,2804100
2014-05-02,128.699997,130.399994,128.610001,129.940002,111.682373,3762900
2014-05-05,129.000000,132.380005,128.949997,131.960007,113.418571,4026500
2014-05-06,131.750000,131.919998,130.699997,130.830002,112.447327,4032000
2014-05-07,130.770004,131.100006,129.199997,130.350006,112.663406,2900600
2014-05-08,130.169998,131.270004,130.169998,130.570007,112.853569,2988700
2014-05-09,130.259995,131.330002,129.880005,131.100006,113.311653,2543800
2014-05-12,131.820007,132.990005,131.639999,132.600006,114.608124,3288500
2014-05-13,133.009995,133.830002,132.860001,133.449997,115.342789,3132200
2014-05-14,133.800003,133.970001,132.690002,132.990005,114.945190,2883900
2014-05-15,132.699997,132.860001,130.559998,131.210007,113.406731,3596800
2014-05-16,131.309998,131.710007,130.029999,130.809998,113.060997,2963300
2014-05-19,130.419998,132.070007,130.350006,131.350006,113.527733,2103100
2014-05-20,130.940002,131.600006,129.070007,129.580002,111.997864,2995800
2014-05-21,130.429993,131.429993,130.039993,130.960007,113.190651,2476100
2014-05-22,131.660004,132.479996,131.270004,131.839996,113.951225,2370700
2014-05-23,132.000000,132.580002,131.929993,132.410004,114.443916,1956200
2014-05-27,133.089996,134.210007,132.869995,134.169998,115.965065,3085500
2014-05-28,134.169998,135.149994,134.169998,134.330002,116.103378,2609400
2014-05-29,134.710007,135.199997,134.429993,135.139999,116.803467,2234100
2014-05-30,134.669998,135.440002,134.039993,135.250000,116.898567,2760300
2014-06-02,135.500000,136.029999,134.770004,135.899994,117.460335,2629900
2014-06-03,135.800003,136.529999,135.619995,135.880005,117.443092,2468800
2014-06-04,135.539993,135.550003,134.589996,135.330002,116.967697,2601900
2014-06-05,135.649994,137.380005,135.649994,136.820007,118.255524,3489900
2014-06-06,137.389999,138.250000,137.119995,138.250000,119.491486,2710900
