Timestamp,Target,Target_trend,minutes,hours,dayofweek,month,quarter,lag1_Target,lag2_Target,lag3_Target,lag4_Target,lag5_Target,lag6_Target,lag7_Target,Target_cos_6219,Target_sin_6219,Target_cos_327,Target_sin_327,anomaly
2022-02-03 13:20:00,0.8391451544424946,0.7701538197193512,20,13,3,2,1,0.8588993718855633,0.878653589328632,0.6767881464131656,0.7640362235497455,0.7501131860304628,0.8364732607175198,0.802011158147356,0.2991998628129877,0.954190464264179,0.48814185189436565,-0.8727643051987972,0
2022-02-03 13:30:00,0.9383295253453936,0.7702077379744485,30,13,3,2,1,0.8391451544424946,0.8588993718855633,0.878653589328632,0.6767881464131656,0.7640362235497455,0.7501131860304628,0.8364732607175198,-0.2977534619024184,0.95464280017456,-0.5130665342903402,-0.8583488401525915,0
2022-02-03 13:40:00,0.7984551158575943,0.7702616562295459,40,13,3,2,1,0.9383295253453936,0.8391451544424946,0.8588993718855633,0.878653589328632,0.6767881464131656,0.7640362235497455,0.7501131860304628,-0.7886013053300138,0.6149048554303327,-0.9998610538669891,0.01666952188858362,0
2022-02-03 13:50:00,0.6266937480981656,0.7703155744846434,50,13,3,2,1,0.7984551158575943,0.9383295253453936,0.8391451544424946,0.8588993718855633,0.878653589328632,0.6767881464131656,0.7640362235497455,-0.9984283320335392,0.05604342773889588,-0.4841688462554203,0.8749745872399354,0
2022-02-03 14:00:00,0.7808033839218245,0.7703694927397406,0,14,3,2,1,0.6266937480981656,0.7984551158575943,0.9383295253453936,0.8391451544424946,0.8588993718855633,0.878653589328632,0.6767881464131656,-0.8524619515842582,-0.5227892702620798,0.5169636534966408,0.8560073486620341,0
2022-02-03 14:10:00,0.7901706428299202,0.7704234109948379,10,14,3,2,1,0.7808033839218245,0.6266937480981656,0.7984551158575943,0.9383295253453936,0.8391451544424946,0.8588993718855633,0.878653589328632,-0.40271779110689054,-0.9153241943300674,0.9997749334504421,-0.02121514657418221,0
2022-02-03 14:20:00,0.9228523168698016,0.7704773292499354,20,14,3,2,1,0.7901706428299202,0.7808033839218245,0.6266937480981656,0.7984551158575943,0.9383295253453936,0.8391451544424946,0.8588993718855633,0.19053625450699535,-0.9816801595827663,0.48018583605577725,-0.8771667816620817,0
2022-02-03 14:30:00,0.8686262789500135,0.7705312475050327,30,14,3,2,1,0.9228523168698016,0.7901706428299202,0.7808033839218245,0.6266937480981656,0.7984551158575943,0.9383295253453936,0.8391451544424946,0.7158920432155659,-0.6982109870666905,-0.5208500838218377,-0.8536481653367414,0
2022-02-03 14:40:00,0.7519202169215858,0.7705851657601301,40,14,3,2,1,0.8686262789500135,0.9228523168698016,0.7901706428299202,0.7808033839218245,0.6266937480981656,0.7984551158575943,0.9383295253453936,0.9861372135280491,-0.16593190198130983,-0.9996681476615041,0.025760329016090457,0
2022-02-03 14:50:00,0.935220901007095,0.7706390840152274,50,14,3,2,1,0.7519202169215858,0.8686262789500135,0.9228523168698016,0.7901706428299202,0.7808033839218245,0.6266937480981656,0.7984551158575943,0.9049689594971884,0.4254775932367959,-0.4761928970975022,0.8793408467448147,0
2022-02-03 15:00:00,0.7707124280723412,0.7706930022703249,0,15,3,2,1,0.935220901007095,0.7519202169215858,0.8686262789500135,0.9228523168698016,0.7901706428299202,0.7808033839218245,0.6266937480981656,0.5013118706280363,0.8652666689335832,0.5247257513019112,0.8512713350751597,0
2022-02-03 15:10:00,0.914660426772136,0.7707469205254222,10,15,3,2,1,0.7707124280723412,0.935220901007095,0.7519202169215858,0.8686262789500135,0.9228523168698016,0.7901706428299202,0.7808033839218245,-0.08098944614840661,0.9967149590592961,0.9995406985324529,-0.030304982713345464,0
2022-02-03 15:20:00,0.8288601387480108,0.7708008387805194,20,15,3,2,1,0.914660426772136,0.7707124280723412,0.935220901007095,0.7519202169215858,0.8686262789500135,0.9228523168698016,0.7901706428299202,-0.6344298922303345,0.7729804084481094,0.4721901151746588,-0.8814967357462774,0
2022-02-03 15:30:00,0.8767856879784766,0.7708547570356169,30,15,3,2,1,0.8288601387480108,0.914660426772136,0.7707124280723412,0.935220901007095,0.7519202169215858,0.8686262789500135,0.9228523168698016,-0.9617890406226492,0.2737916020227136,-0.5285905726374713,-0.8488769089324966,0
2022-02-03 15:40:00,1.0073858095583377,0.7709086752907142,40,15,3,2,1,0.8767856879784766,0.8288601387480108,0.914660426772136,0.7707124280723412,0.935220901007095,0.7519202169215858,0.8686262789500135,-0.9464113207327985,-0.322963793619037,-0.9993925887767099,0.03484901000295578,0
2022-02-03 15:50:00,0.8182132383572619,0.7709625935458115,50,15,3,2,1,1.0073858095583377,0.8767856879784766,0.8288601387480108,0.914660426772136,0.7707124280723412,0.935220901007095,0.7519202169215858,-0.5937766365041208,-0.8046299186221285,-0.4681775730252319,0.8836344041039844,0
2022-02-03 16:00:00,0.8718171536090417,0.7710165118009089,0,16,3,2,1,0.8182132383572619,1.0073858095583377,0.8767856879784766,0.8288601387480108,0.914660426772136,0.7707124280723412,0.935220901007095,-0.029547583362040723,-0.9995633748379655,0.5324444679421955,0.846464936401829,0
2022-02-03 16:10:00,0.823029630442806,0.7710704300560063,10,16,3,2,1,0.8718171536090417,0.8182132383572619,1.0073858095583377,0.8767856879784766,0.8288601387480108,0.914660426772136,0.7707124280723412,0.5452108536458319,-0.8382989473134171,0.9992238214557215,-0.03939231695932973,0
2022-02-03 16:20:00,0.8380096730547304,0.7711243483111037,20,16,3,2,1,0.823029630442806,0.8718171536090417,0.8182132383572619,1.0073858095583377,0.8767856879784766,0.8288601387480108,0.914660426772136,0.9256815075333589,-0.37830377557033185,0.46415535358895116,-0.8857538076320732,0
2022-02-03 16:30:00,0.7342449441503599,0.7711782665662009,30,16,3,2,1,0.8380096730547304,0.823029630442806,0.8718171536090417,0.8182132383572619,1.0073858095583377,0.8767856879784766,0.8288601387480108,0.9762823380828034,0.21650126176901296,-0.5362873575556031,-0.8440354673389198,0
2022-02-03 16:40:00,0.7718904337176504,0.7712321848212984,40,16,3,2,1,0.7342449441503599,0.8380096730547304,0.823029630442806,0.8718171536090417,0.8182132383572619,1.0073858095583377,0.8767856879784766,0.6789815634142579,0.7341553218110797,-0.9990344000579289,0.043934809671765024,0
2022-02-03 16:50:00,0.9153791379102352,0.7712861030763957,50,16,3,2,1,0.7718904337176504,0.7342449441503599,0.8380096730547304,0.823029630442806,0.8718171536090417,0.8182132383572619,1.0073858095583377,0.13972334814597687,0.9901905806373227,-0.4601235400055771,0.8878549025222173,0
2022-02-03 17:00:00,0.8599290248123762,0.771340021331493,0,17,3,2,1,0.9153791379102352,0.7718904337176504,0.7342449441503599,0.8380096730547304,0.823029630442806,0.8718171536090417,0.8182132383572619,-0.44932576798186125,0.8933679836593152,0.540119162044703,0.8415885519611872,0
2022-02-03 17:10:00,0.7378120661177495,0.7713939395865904,10,17,3,2,1,0.8599290248123762,0.9153791379102352,0.7718904337176504,0.7342449441503599,0.8380096730547304,0.823029630442806,0.8718171536090417,-0.8782560846098796,0.4781905999135952,0.9988243284986948,-0.048476394246389894,0
2022-02-03 17:20:00,0.8132139953706353,0.7714478578416879,20,17,3,2,1,0.7378120661177495,0.8599290248123762,0.9153791379102352,0.7718904337176504,0.7342449441503599,0.8380096730547304,0.823029630442806,-0.9942167922329166,-0.10739166653930679,0.45608221561318235,-0.8899376453445323,0
2022-02-03 17:30:00,0.8104939210589034,0.7715017760967852,30,17,3,2,1,0.8132139953706353,0.7378120661177495,0.8599290248123762,0.9153791379102352,0.7718904337176504,0.7342449441503599,0.8380096730547304,-0.7558848895525025,-0.6547045392741683,-0.5439398022056344,-0.8391242408466671,0
2022-02-03 17:40:00,0.7732254944005511,0.7715556943518824,40,17,3,2,1,0.8104939210589034,0.8132139953706353,0.7378120661177495,0.8599290248123762,0.9153791379102352,0.7718904337176504,0.7342449441503599,-0.24819077864884143,-0.9687111733606059,-0.9985936113177275,0.053016973088052775,0
2022-02-03 17:50:00,0.8928033446957797,0.7716096126069799,50,17,3,2,1,0.7732254944005511,0.8104939210589034,0.8132139953706353,0.7378120661177495,0.8599290248123762,0.9153791379102352,0.7718904337176504,0.34794697927900287,-0.9375142130179238,-0.45203146726939547,0.8920019913645246,0
2022-02-03 18:00:00,0.8955028456754767,0.7716635308620772,0,18,3,2,1,0.8928033446957797,0.7732254944005511,0.8104939210589034,0.8132139953706353,0.7378120661177495,0.8599290248123762,0.9153791379102352,0.8200926212787548,-0.5722308035435884,0.5477491959485683,0.8366425869734918,0
2022-02-03 18:10:00,0.7750050694175831,0.7717174491171745,10,18,3,2,1,0.8955028456754767,0.8928033446957797,0.7732254944005511,0.8104939210589034,0.8132139953706353,0.7378120661177495,0.8599290248123762,0.9999954066366514,-0.0030309578680791593,0.9983422529058867,-0.05755645978340351,0
2022-02-03 18:20:00,0.7862673589176765,0.7717713673722719,20,18,3,2,1,0.7750050694175831,0.8955028456754767,0.8928033446957797,0.7732254944005511,0.8104939210589034,0.8132139953706353,0.7378120661177495,0.8235463523589932,0.5672489801808347,0.4479713720654304,-0.8940479012949002,0
2022-02-03 18:30:00,0.8721174429443218,0.7718252856273693,30,18,3,2,1,0.7862673589176765,0.7750050694175831,0.8955028456754767,0.8928033446957797,0.7732254944005511,0.8104939210589034,0.8132139953706353,0.3536236923621526,0.9353877721031838,-0.5515472707755951,-0.8341436375708877,0
2022-02-03 18:40:00,0.7838624434321206,0.7718792038824667,40,18,3,2,1,0.8721174429443218,0.7862673589176765,0.7750050694175831,0.8955028456754767,0.8928033446957797,0.7732254944005511,0.8104939210589034,-0.24231399977948867,0.970197879564198,-0.9980702586393696,0.06209475677979449,0
2022-02-03 18:50:00,0.8425609240023875,0.771933122137564,50,18,3,2,1,0.7838624434321206,0.8721174429443218,0.7862673589176765,0.7750050694175831,0.8955028456754767,0.8928033446957797,0.7732254944005511,-0.7519022556959242,0.6592745997529262,-0.44390201723922046,0.8960753311474158,0
2022-02-03 19:00:00,0.778945513829531,0.7719870403926614,0,19,3,2,1,0.8425609240023875,0.7838624434321206,0.8721174429443218,0.7862673589176765,0.7750050694175831,0.8955028456754767,0.8928033446957797,-0.993547528809517,0.11341652435382572,0.5553339450540686,0.8316274463187736,0
2022-02-03 19:10:00,0.7619884947083555,0.7720409586477587,10,19,3,2,1,0.778945513829531,0.8425609240023875,0.7838624434321206,0.8721174429443218,0.7862673589176765,0.7750050694175831,0.8955028456754767,-0.8811386859672794,-0.4728579237909165,0.9977776341403305,-0.06663177027007988,0
2022-02-03 19:20:00,-0.5945160436497376,0.772094876902856,20,19,3,2,1,0.7619884947083555,0.778945513829531,0.8425609240023875,0.7838624434321206,0.8721174429443218,0.7862673589176765,0.7750050694175831,-0.4547330091049973,-0.8906278069038236,0.4398234869048202,-0.8980842390148518,1
