model,hyperparameters,train_rmse,test_rmse,time_taken,dataset_name,num_clients,id
Lasso,"{'alpha': 0.0006728858222970712, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': 42, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",0.24026106535891378,0.24239673573883205,0.0009999275207519531,5,2,5-2
Lasso,"{'alpha': 0.0010250274965966635, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': 42, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",0.24028248747226863,0.24380805717513754,0.0019998550415039062,5,2,5-2
Lasso,"{'alpha': 0.0010250274965966635, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': 42, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",0.24028247768205577,0.24380747201076536,0.001973390579223633,5,2,5-2
Lasso,"{'alpha': 0.0015614556496263334, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': 42, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",0.2403321825640947,0.24600496331283214,0.0010020732879638672,5,2,5-2
Lasso,"{'alpha': 0.0015614556496263334, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': 42, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",0.2403321677255783,0.24600436464008443,0.0010023117065429688,5,2,5-2
Lasso,"{'alpha': 0.0023786130165729343, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': 42, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",0.2404474723105629,0.2494595431588409,0.001998424530029297,5,2,5-2
Lasso,"{'alpha': 0.0023786130165729343, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': 42, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",0.24044744989552003,0.24945892517152907,0.0019998550415039062,5,2,5-2
Lasso,"{'alpha': 0.0036234137575179596, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': 42, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",0.2407148088915416,0.25496166603158127,0.0019974708557128906,5,2,5-2
Lasso,"{'alpha': 0.0036234137575179596, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': 42, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",0.24071477520750773,0.2549610214574938,0.0010135173797607422,5,2,5-2
Lasso,"{'alpha': 0.005519656693498899, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': 42, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",0.2413340553575582,0.2638620557193832,0.0019981861114501953,5,2,5-2
Lasso,"{'alpha': 0.005519656693498899, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': 42, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",0.24133400516842024,0.26386137686119804,0.0009763240814208984,5,2,5-2
Lasso,"{'alpha': 0.008408261394623858, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': 42, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",0.2427649886589512,0.278500085222995,0.0019981861114501953,5,2,5-2
Lasso,"{'alpha': 0.008408261394623858, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': 42, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",0.24276491495199848,0.2784993672051525,0.0009968280792236328,5,2,5-2
Lasso,"{'alpha': 0.012808561040325515, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': 42, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",0.2460535026573026,0.30291213427333974,0.0019998550415039062,5,2,5-2
Lasso,"{'alpha': 0.012808561040325515, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': 42, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",0.24605340933433142,0.30291138470567275,0.0009999275207519531,5,2,5-2
Lasso,"{'alpha': 0.019511671702861427, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': 42, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",0.2535204351940111,0.3438738820789492,0.0009982585906982422,5,2,5-2
Lasso,"{'alpha': 0.019511671702861427, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': 42, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",0.2535196201866585,0.3438694412858385,0.002000093460083008,5,2,5-2
